"","denial","adversary","esca_scaled","esca_scaled_wa","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Military.Service","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"392",1,1,18.5575718338404,17.5166217626911,2.57615536026601,2,1,4,-0.396468989203223,0,4,58.5196781183786,3,4,2,2,1,2,53,0,12,1,0,4,1,0
"393",1,1,12.7815858138628,11.1650890115845,-2.39845791562704,2,2,3,-0.396468989203223,0,1,25.4000866218848,3,3,1,1,2,2,23,0,2,1,0,5,0,1
"394",1,1,57.0055997938853,54.813556260478,1.79358181754476,4,2,3,0.696063241088244,0,4,100,3,4,2,2,5,4,32,0,4,0,0,7,0,0
"395",0,1,37.1656622259311,42.5459623676338,-1.77674345969498,2,4,3,0.361114102831249,0,2,41.8804085035062,3,3,1,3,3,3,51,0,12,0,0,5,1,0
"396",0,1,100,100,2.57615536026601,1,1,2,-0.484153804723706,1,5,100,4,5,5,5,5,5,35,1,12,1,0,4,1,0
"397",1,1,81.3644169268284,82.4380701954014,0.635564107663123,4,2,1,0.361114102831249,0,5,25.5590343551358,4,4,3,4,5,5,71,0,10,1,0,4,0,1
"398",1,1,19.1207434615661,14.8467997858601,-0.704136951795817,2,1,1,-0.731418127460218,0,2,49.7588611113663,2,5,1,1,2,3,33,0,5,0,0,4,0,0
"399",1,1,87.2436734652623,92.5912704095413,2.64074229946038,2,1,4,0.361114102831249,0,3,75,3,5,4,5,5,4,60,0,5,1,0,4,1,0
"400",1,1,25.6664421461821,26.1318454862024,-0.0507372874633033,4,2,2,0.361114102831249,0,5,83.5196781183786,3,4,1,1,4,2,74,0,9,1,0,5,0,1
"401",0,1,81.3644169268284,82.4380701954014,1.79358181754476,4,3,4,0.361114102831249,0,4,50.8001732437695,3,4,3,4,5,5,54,0,14,1,0,7,0,1
"402",1,1,81.3644169268284,82.4380701954014,2.57615536026601,1,1,2,0.361114102831249,0,5,50.1589477332511,3,5,3,4,5,5,68,1,24,1,0,6,1,0
"403",1,1,68.5828311129656,71.2729811838169,0.700151046857489,3,3,3,0.0261649645742542,0,3,58.5196781183786,3,5,3,4,4,4,42,0,12,0,1,7,0,0
"404",1,1,55.6979747806463,56.306224709199,0.700151046857489,3,3,4,-0.0615198509462284,1,4,8.51967811837861,3,1,3,4,2,4,53,1,16,0,1,4,0,1
"405",0,1,0,0,-1.77674345969498,2,1,2,0.361114102831249,0,1,66.5570784594898,4,4,1,1,1,1,65,0,13,1,0,7,1,0
"406",0,1,93.5828311129656,96.2729811838169,0.946421335629153,5,5,3,-0.396468989203223,0,3,50.3178954665022,4,5,4,5,5,5,46,0,19,1,0,3,1,0
"407",1,1,62.806845092988,64.9214484327104,-0.211596374252489,2,2,4,-0.0615198509462284,0,3,25,4,4,2,3,5,4,49,0,5,1,0,4,0,1
"408",1,1,32.0055997938853,29.813556260478,-0.147009435058123,1,1,2,0.696063241088244,0,3,25.1589477332511,3,4,1,1,4,3,29,1,8,1,0,2,0,0
"409",0,1,44.7871856077481,40.9786452720625,0.881834396434787,2,2,2,-0.0615198509462284,0,2,42.2804951253909,4,4,1,1,5,4,65,0,12,1,0,3,0,0
"410",0,1,74.3313244518622,85.0919247352676,1.7289948783504,3,2,2,0.361114102831249,0,4,100,4,5,1,5,5,5,56,0,9,1,0,6,0,0
"411",1,1,81.3644169268284,82.4380701954014,1.01100827482352,2,1,2,0.361114102831249,0,4,100,3,5,3,4,5,5,66,0,19,1,0,4,0,0
"412",1,1,25.5631716277257,22.3301780231691,-4.33904916822993,1,1,3,-0.484153804723706,0,3,33.1195914964939,3,2,1,1,3,3,35,0,7,1,0,5,0,0
"413",0,1,75.5631716277257,72.3301780231691,1.79358181754476,3,2,2,0.696063241088244,0,5,100,4,5,3,3,5,5,45,0,5,1,0,6,0,0
"414",0,1,56.927588554554,54.7682482185705,-2.87017423038226,4,1,4,0.0261649645742542,0,5,83.3607303851275,3,1,1,2,5,5,61,1,2,1,0,4,0,1
"415",1,1,19.2240139800224,18.6484672488935,-3.18103145834829,1,2,2,-0.0615198509462284,0,3,25,3,2,1,1,3,2,18,0,5,1,0,4,0,0
"416",0,1,74.3313244518622,85.0919247352676,0.796423194452309,3,3,2,0.361114102831249,0,3,83.1195914964939,4,3,1,5,5,5,50,0,23,1,0,6,1,0
"417",1,1,37.7035745745316,36.119780969677,-0.929582977779368,2,1,2,0.0261649645742542,0,3,58.3607303851275,3,3,1,2,3,4,52,0,14,1,0,6,0,0
"418",1,1,37.806845092988,39.9214484327104,-4.33904916822993,1,1,4,-1.1540520812377,0,5,25.4000866218848,3,2,1,2,4,3,48,0,6,0,0,3,0,1
"419",1,1,62.1656622259311,67.5459623676338,-1.0587568561681,4,2,3,0.361114102831249,0,3,0,3,4,2,4,4,4,66,0,20,0,1,2,0,1
"420",0,1,62.7288338536568,64.8761403908029,-1.77674345969498,5,4,4,0.696063241088244,0,4,50.2411388886337,4,1,1,3,5,5,63,0,13,0,1,5,0,1
"421",1,1,48.8736567445487,55.3396439536618,1.41813765038437,2,2,1,0.696063241088244,0,1,100,3,2,5,5,1,1,27,1,7,1,0,2,0,0
"422",0,1,74.5400988907307,81.4714894398643,-0.147009435058123,3,3,3,0.113849780094737,0,1,83.7608170070123,4,2,5,5,4,2,46,0,1,0,0,2,0,0
"423",1,1,87.1656622259311,92.5459623676338,0.700151046857489,4,4,4,0.361114102831249,0,4,91.8804085035061,3,5,3,5,5,5,54,0,9,1,0,2,1,0
"424",1,1,50.5884309068508,51.0865374442949,0.946421335629153,4,4,4,-0.731418127460218,0,4,66.7214607702551,3,3,1,2,5,4,34,1,22,1,0,6,0,1
"425",0,1,87.1656622259311,92.5459623676338,1.7289948783504,2,1,1,-0.0615198509462284,0,5,100,4,4,3,5,5,5,75,0,20,1,0,2,1,0
"426",1,1,68.6608423522968,71.3182892257244,2.01902784352832,2,1,2,-0.0615198509462284,0,1,67.2804951253909,3,4,4,4,4,3,31,0,12,1,0,3,1,0
"427",0,1,25.4599011092693,18.5285105601357,1.79358181754476,4,2,4,-0.396468989203223,0,5,0,4,2,1,1,2,4,23,1,9,1,0,4,0,1
"428",0,1,87.7815858138628,86.1650890115845,0.635564107663123,1,2,2,0.361114102831249,0,3,83.7608170070123,3,4,4,4,5,5,40,0,1,1,0,6,1,0
"429",1,1,31.4424281661596,32.4833782373089,-0.683312689007705,2,2,2,-0.396468989203223,0,4,50.4000866218848,3,4,2,2,3,2,37,1,4,1,0,4,1,0
"430",0,1,62.1656622259311,67.5459623676338,1.48272458957873,3,2,3,0.0261649645742542,0,2,58.5196781183786,3,3,2,4,4,4,47,0,9,1,0,5,1,0
"431",1,1,37.1656622259311,42.5459623676338,-0.994169916973735,3,1,3,0.361114102831249,0,4,33.5196781183786,3,3,1,3,3,3,65,0,18,1,0,4,0,1
"432",0,1,100,100,3.11245861421559,4,4,3,0.361114102831249,0,5,100,4,5,5,5,5,5,57,0,3,0,0,2,0,1
"433",0,1,69.1460027406912,68.603159206986,-0.864996038585002,2,2,4,-0.396468989203223,0,3,58.9197647402634,3,5,2,3,5,5,55,0,5,1,0,5,0,1
"434",0,1,62.7815858138628,61.1650890115845,0.453880758085825,2,1,3,-0.0615198509462284,0,2,83.3607303851275,3,4,3,3,4,4,28,0,3,1,0,2,1,0
"435",0,1,56.927588554554,54.7682482185705,0.570977168468757,3,1,2,-0.0615198509462284,0,3,25.1589477332511,4,4,1,2,5,5,81,0,4,1,0,4,1,0
"436",1,1,69.1987547008973,64.8921078277676,1.41813765038437,3,4,2,-0.0615198509462284,0,1,50,4,3,4,3,4,4,61,0,16,1,0,3,1,0
