"","denial","adversary","esca_scaled","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"992",0,1,18.3002495240056,0.390264548136721,4,4,5,-0.101897048398659,4,50.5305187792592,2,4,2,2,2,1,33,0,10,0,0,4,0,1
"995",1,1,66.0035208443596,-0.0839735781744181,3,4,2,-0.101897048398659,4,41.9541796977948,4,5,2,2,5,5,51,1,17,1,0,6,0,1
"998",0,1,50.9299600741463,0.443343138814045,2,1,4,0.288011200124253,1,58.3778406163304,4,3,2,3,3,4,51,1,5,1,0,2,1,0
"1006",1,1,46.5658901610583,0.893819293019143,1,1,2,0.288011200124253,4,33.3778406163304,3,1,1,2,4,4,54,1,1,1,0,7,1,0
"1021",1,1,82.6906287944558,-2.06540674934805,2,2,2,-0.42081276894809,4,58.5763390814644,4,4,2,5,5,5,55,1,6,1,0,6,1,0
"1022",0,1,82.6906287944558,-2.06540674934805,4,4,4,0.288011200124253,3,66.9541796977948,4,5,2,5,5,5,69,0,5,1,0,2,0,1
"1023",1,1,50,-0.719532933197993,3,2,1,-0.810721017471003,5,50,3,3,3,3,3,3,29,0,1,0,1,3,0,0
"1024",0,1,13.9361796109176,1.26190023797563,4,4,3,0.217018672150771,4,16.9541796977948,4,3,1,1,3,1,50,0,13,0,1,4,0,1
"1025",1,1,NA,1.65929780150341,3,2,4,-0.101897048398659,4,59.1068578607237,4,3,3,5,4,NA,37,1,4,1,0,8,1,0
"1026",0,1,40.7351815148951,-1.98856618656468,4,3,3,-0.739728489497521,5,25,4,1,1,1,3,5,60,0,5,1,0,4,0,1
"1027",0,1,82.6906287944558,-0.0839735781744181,4,2,3,-0.0309045204251778,5,50.7290172443933,4,4,2,5,5,5,54,1,24,0,1,7,0,1
"1030",1,1,62.2621197926931,0.496421729491369,2,3,4,0.288011200124253,1,50.1984984651341,3,3,3,4,3,4,67,0,2,0,0,2,0,1
"1032",1,1,100,-0.796373495981359,4,4,3,0.288011200124253,3,32.8473218370711,4,4,5,5,5,5,34,0,1,1,0,2,1,0
"1033",1,1,82.8980498796051,-1.24684965018646,5,5,2,0.996835169196596,5,91.4236609185356,3,4,3,4,5,5,38,1,20,1,0,6,0,1
"1034",0,1,82.8980498796051,-0.375213960347544,4,4,3,0.288011200124253,4,66.9541796977948,3,4,3,4,5,5,56,1,6,0,0,6,0,1
"1035",1,1,77.128259477757,0.443343138814045,2,2,4,-0.101897048398659,5,83.5763390814644,4,5,2,4,5,5,45,1,14,1,0,5,1,0
"1037",0,1,82.8980498796051,-2.06540674934805,3,4,4,-0.42081276894809,4,67.484698477054,4,4,3,4,5,5,34,1,19,1,0,7,0,1
"1038",0,1,82.8980498796051,-0.0308949874970942,4,4,4,-0.101897048398659,4,83.5763390814644,4,5,3,4,5,5,47,1,21,0,0,6,0,1
"1040",0,1,76.9208383926077,1.31497882865296,3,3,1,-0.101897048398659,5,66.9541796977948,4,4,1,5,5,5,56,1,11,0,1,6,0,1
"1042",1,1,88.6678402814532,1.60621921082608,2,1,2,0.288011200124253,4,75.1984984651341,4,5,4,4,5,5,52,1,25,1,0,4,1,0
