,denial,adversary,esca_scaled,MA_scaled,GovTrust,NewsTrust,IntTrust,NC_scaled,Military.Service,Read.FP,reputation_scaled,ambiguity,insulting,war,airstrike,sanctions,diplomacy,age,male,hhi,white,black,education,republican,democrat
108,1,1,30.8012453,-2.398457916,2,3,4,-0.819102943,0,3,58.03740034,2,2,2,3,2,2,62,0,19,1,0,5,0,1
109,0,1,NA,-3.095620256,3,3,1,-0.819102943,0,1,59.16090363,4,5,5,NA,4,3,34,1,1,1,0,0,0,0
110,1,1,68.50481987,-0.147009435,3,1,3,0.361114103,0,4,58.51967812,3,3,2,4,4,5,79,1,NA,1,0,7,1,0
111,0,1,62.24367347,-3.491888686,1,1,1,-0.819102943,0,4,58.36073039,3,1,3,4,4,3,40,0,3,1,0,5,0,0
112,1,1,50,-3.406477484,1,1,4,-0.061519851,0,3,16.8804085,3,2,3,3,3,3,32,0,9,1,0,4,0,1
113,1,1,31.33915765,-1.77674346,2,1,4,-0.396468989,0,5,33.51967812,2,3,2,2,2,3,50,0,2,1,0,6,1,0
114,0,1,62.14040295,0.034673915,4,5,4,-0.149204666,1,5,100,4,5,3,4,3,4,41,1,20,1,0,7,0,1
115,0,1,NA,1.48272459,2,1,2,0.361114103,0,3,17.03935624,4,5,2,NA,5,5,60,0,1,0,0,4,1,0
116,0,1,100,0.034673915,4,4,3,0.696063241,1,5,100,1,5,5,5,5,5,80,1,3,1,0,6,0,1
117,1,1,74.54009889,0.881834396,5,4,5,-0.149204666,1,5,49.59991338,4,5,5,5,4,2,41,1,20,1,0,7,0,1
118,1,1,50.58843091,0.293021671,5,2,5,0.696063241,0,2,8.519678118,3,4,1,2,5,4,31,1,4,1,0,2,1,0
119,0,1,37.16566223,-2.773902083,1,1,1,-0.819102943,1,5,8.519678118,3,2,1,3,3,3,42,1,1,1,0,2,0,0
120,1,1,44.14600274,-1.77674346,2,2,3,0.361114103,0,4,0,3,2,1,2,4,4,66,0,10,1,0,6,0,1
121,1,1,56.44242817,-0.994169917,3,3,3,0.361114103,0,4,50,3,3,3,3,4,3,29,0,NA,1,0,8,0,1
122,0,1,74.94724804,0.228434732,2,1,2,0.361114103,0,4,66.8804085,3,3,2,4,5,5,51,0,22,1,0,6,1,0
123,1,1,31.41716889,-1.77674346,3,3,4,0.361114103,1,3,33.76081701,2,1,3,2,2,2,19,0,NA,0,0,2,0,1
124,0,1,87.78158581,0.228434732,1,1,4,-0.819102943,0,3,50.64122551,4,4,4,4,5,5,42,0,1,1,0,2,0,0
125,1,1,25.71919411,0.764737986,4,2,4,-0.061519851,0,3,25,3,4,3,1,3,1,39,0,5,1,0,5,1,0
126,0,1,56.44242817,-0.457866663,3,3,3,-0.819102943,0,1,50,3,2,3,3,4,3,40,0,5,1,0,2,0,0
127,0,1,37.70357457,-2.709315144,2,2,2,-0.396468989,0,4,17.03935624,4,3,1,2,3,4,56,1,1,0,0,1,0,1
128,1,1,42.96690753,0.946421336,3,1,4,0.448798918,0,2,66.8804085,3,4,1,4,3,3,69,0,9,1,0,5,1,0
129,1,1,75.02525928,1.48272459,2,1,4,0.026164965,0,3,100,3,3,3,4,5,4,50,0,1,1,0,4,1,0
130,0,1,87.14040295,-0.929582978,4,2,1,-0.396468989,0,1,100,3,4,4,5,4,5,56,0,6,1,0,2,1,0
131,0,1,50.07801124,0.389293819,5,4,3,0.361114103,NA,3,33.91976474,3,2,4,3,3,2,18,0,2,0,0,5,0,1
132,1,1,44.14600274,1.793581818,3,1,3,0.361114103,0,1,50,3,3,1,2,4,4,34,0,20,1,0,2,1,0
133,0,1,68.60809039,1.858168757,3,2,1,-0.396468989,0,4,91.63926961,4,1,2,4,5,4,48,0,5,1,0,3,0,0
134,0,1,62.72883385,-1.615884373,4,4,3,-0.396468989,0,5,41.8804085,4,5,1,3,5,5,76,0,20,1,0,7,0,1
135,1,1,25.45990111,2.640742299,1,1,2,0.361114103,0,5,57.96064376,3,2,1,1,2,4,43,0,11,1,0,2,0,0
136,1,1,50.48516039,-0.683312689,4,4,3,-0.061519851,0,1,50,3,3,1,2,4,5,71,0,2,1,0,4,0,1
137,1,1,56.36441693,0.635564108,4,4,2,-0.061519851,0,4,41.8804085,4,5,2,3,4,4,43,0,22,1,0,7,0,1
138,0,1,80.8012453,-0.082422496,1,2,2,0.361114103,1,4,58.67862585,4,4,4,5,4,4,80,1,20,1,0,4,0,0
